prompt_id,prompt_variant,layer,pos,token,entropy,entropy_bits,top1,prob1,top2,prob2,top3,prob3,top4,prob4,top5,prob5,top6,prob6,top7,prob7,top8,prob8,top9,prob9,top10,prob10,top11,prob11,top12,prob12,top13,prob13,top14,prob14,top15,prob15,top16,prob16,top17,prob17,top18,prob18,top19,prob19,top20,prob20,rest_mass
pos,orig,0,0,<s>,16.960283279418945,16.960283279418945,pread,2.3674456315347925e-05,stelling,2.271390621899627e-05,asku,2.2063502910896204e-05,obal,2.173637767555192e-05, perman,2.1419551558210514e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999888392205321
pos,orig,0,1,Give,16.955169677734375,16.955169677734375,xis,2.9206106773926876e-05,utz,2.6020503355539404e-05,ional,2.3678554498474114e-05,ələ,2.36753148783464e-05,цю,2.3661123123019934e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998737583973707
pos,orig,0,2, the,16.950115203857422,16.950115203857422, gaz,2.6760702894534916e-05,反之,2.673252674867399e-05, rub,2.651162321853917e-05, application,2.5679177269921638e-05, progressively,2.4809169190120883e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998695068006782
pos,orig,0,3, city,16.9365234375,16.9365234375,ixel,3.9561386074637994e-05,hoven,3.0398521630559117e-05,>Main,2.8541244319058023e-05,dro,2.81997854472138e-05, Coup,2.806749034789391e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998452315721806
pos,orig,0,4, name,16.928129196166992,16.928129196166992,ilon,3.43463325407356e-05,ść,3.297273724456318e-05,inand,3.132893471047282e-05,iono,2.9800779884681106e-05, piir,2.922312887676526e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998423280867428
pos,orig,0,5, only,16.948190689086914,16.948190689086914, Njeg,2.5447887310292572e-05, succ,2.4798520826152526e-05,ener,2.4731558369239792e-05,Scénario,2.463722921675071e-05, Aires,2.3942189727677032e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998764426145499
pos,orig,0,6,",",16.95671272277832,16.95671272277832, suc,2.497937202861067e-05, mond,2.3803817384759896e-05, dor,2.343183950870298e-05,gars,2.2406020434573293e-05,ouri,2.2315993192023598e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998830629574513
pos,orig,0,7, plain,16.94440269470215,16.94440269470215,ober,2.7442347345640883e-05,uster,2.6339228497818112e-05, Lower,2.5762443328858353e-05, thrust,2.5413601179025136e-05,quo,2.536208921810612e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998696802904306
pos,orig,0,8, text,16.934297561645508,16.934297561645508,iono,3.50408190570306e-05,xis,3.416477920836769e-05,indel,3.041783202206716e-05,iner,2.972384390886873e-05,inand,2.8601691155927256e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998420510346477
pos,orig,0,9,.,16.945865631103516,16.945865631103516,stritten,2.830986886692699e-05, ber,2.6701416572905146e-05,Conse,2.4225679226219654e-05, con,2.393829527136404e-05, progressively,2.3936929210321978e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998728878108523
pos,orig,0,10, The,16.95768928527832,16.95768928527832,stritten,2.4029483029153198e-05, progressively,2.16102744161617e-05, conse,2.1599278625217266e-05,款,2.1025391106377356e-05, piir,2.100152414641343e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998907340486767
pos,orig,0,11, capital,16.94260597229004,16.94260597229004,greso,3.2872307201614603e-05,>Main,3.0423036150750704e-05,roid,2.812276579788886e-05,ixel,2.7456291718408465e-05,iono,2.7216832677368075e-05,랬,2.647623114171438e-05,τζ,2.5800760340644047e-05, Coup,2.5589803044567816e-05,Després,2.5363784516230226e-05, Vill,2.50271987169981e-05,ionado,2.47953776124632e-05, orthodox,2.4668937840033323e-05, înce,2.4349290470127016e-05, reck,2.4265696993097663e-05, Villanueva,2.4074046450550668e-05, Western,2.3959739337442443e-05, vill,2.3930950192152523e-05, Drehbuchautor,2.3929782400955446e-05,inand,2.357706216571387e-05, Cast,2.3519231035606936e-05,0.9994845808741957
pos,orig,0,12, of,16.841350555419922,16.841350555419922, piir,6.965720240259543e-05,abase,6.813742947997525e-05,quick,6.743838457623497e-05,uten,6.006783587508835e-05, Pom,5.5387859902111813e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.999679311287764
pos,orig,0,13, Germany,16.919052124023438,16.919052124023438,tober,4.1512241296004504e-05,quick,3.491324605420232e-05,ść,3.1599676731275395e-05, Protagon,3.067579382332042e-05,ყ,2.9343489586608484e-05,MBOL,2.856296850950457e-05, likely,2.826114541676361e-05,шинг,2.7864114599651657e-05,abase,2.785226024570875e-05,wania,2.782843694149051e-05, Butter,2.7278016204945743e-05,СР,2.6968617021339014e-05, лё,2.683435013750568e-05,aken,2.6619498385116458e-05,::__,2.6119680114788935e-05, kho,2.595248406578321e-05,-Sah,2.5872635887935758e-05,hoven,2.5792014639591798e-05,klı,2.529083394620102e-05,appone,2.504177246009931e-05,0.9994298167239322
pos,orig,0,14, is,16.924631118774414,16.924631118774414, pom,3.6078537959838286e-05,Després,3.390067286090925e-05, Pom,3.358501635375433e-05,heed,3.278736039646901e-05, piir,3.127774834865704e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998323706640804
pos,orig,0,15, called,16.920000076293945,16.920000076293945,emen,4.035839447169565e-05,ober,3.8749614759581164e-05,itôt,3.5586836020229384e-05,ść,3.4347231121500954e-05,ฤ,3.255993942730129e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9998183979841997
pos,orig,0,16, simply,16.92865562438965,16.92865562438965,oney,3.6718625779030845e-05,ober,3.246174310334027e-05,ść,2.9778617317788303e-05,日発売,2.9363476642174646e-05, Toponymie,2.8770407880074345e-05,quo,2.8608363209059462e-05, script,2.8055432267137803e-05,mena,2.7923297238885425e-05,খ,2.7574013074627146e-05, Njeg,2.6741900001070462e-05, Kle,2.6713236366049387e-05,alles,2.6326029910705984e-05,ächen,2.6231444280711003e-05,méně,2.5973446099669673e-05,azon,2.5925599402398802e-05,.acs,2.582820161478594e-05, dead,2.5346193069708534e-05,нот,2.5192501198034734e-05,uman,2.512309765734244e-05,ản,2.4798438971629366e-05,0.9994465459349158
pos,orig,1,0,<s>,16.98122787475586,16.98122787475586,iono,1.6175916243810207e-05,upart,1.6067016986198723e-05, Sud,1.4987773283792194e-05,gerichts,1.4903198461979628e-05, jurado,1.475078988733003e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9999231153051369
pos,orig,1,1,Give,16.59953498840332,16.59953498840332,asso,0.0003940575697924942,-,0.00017629997455514967, tap,0.00016172745381481946, pre,0.00015032342344056815, rocket,0.0001288679923163727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9989887235860806
